n_Length,n_dots,n_hypens,n_underline,n_slash,n_questionmark,n_equal,n_AtSign,n_and,n_exclamation,n_space,n_tilde,n_comma,n_plus,n_asterisk,n_hastag,n_dollar,n_percent,n_redirection,label
58,3,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,5,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
29,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65,1,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
73,3,0,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
73,2,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
185,1,2,2,12,1,3,0,1,0,0,0,0,0,0,0,0,0,2,1
105,2,2,2,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
35,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
245,2,1,1,7,1,3,0,2,0,0,0,0,0,0,0,0,0,0,1
84,2,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
283,3,2,6,7,1,3,0,2,0,0,0,0,0,0,0,0,8,0,1
60,2,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
237,1,30,0,5,1,2,0,2,0,0,0,0,0,0,0,0,2,0,1
25,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
328,3,9,4,7,1,6,0,4,0,0,0,0,0,0,0,0,0,1,1
33,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
132,3,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
66,4,1,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
20,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
130,1,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
111,2,1,3,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
110,8,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72,1,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
84,2,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
44,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
245,2,1,1,6,1,3,0,2,0,0,0,0,0,0,0,0,0,0,1
178,2,3,0,9,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1
132,5,4,0,7,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1
37,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
55,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
27,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,3,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
63,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
140,16,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70,2,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
63,2,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,3,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
101,2,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
96,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
92,3,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,2,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100,2,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,3,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
80,3,1,0,4,0,1,0,0,0,0,0,4,0,0,0,0,0,0,1
128,3,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
90,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64,4,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
129,2,1,2,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
61,4,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66,1,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
129,4,2,2,3,1,3,0,2,0,0,0,0,0,0,0,0,5,1,1
18,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
76,2,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
127,2,3,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
127,2,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
73,4,2,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
36,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
38,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
243,5,5,1,3,1,3,0,2,0,0,0,0,0,0,0,0,0,0,1
105,3,5,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
